/* Field profile:
/*    z Bz(axis)    rFT Bz(rmax)   rout Bz(rmax)
-0.3924 1.047782 0.0371 1.040335 0.0558 1.030856
-0.3874 1.059537 0.0369 1.051912 0.0555 1.042156
-0.3824 1.071848 0.0367 1.064070 0.0552 1.054062
-0.3774 1.084730 0.0365 1.076830 0.0548 1.066605
-0.3724 1.098198 0.0362 1.090213 0.0545 1.079813
-0.3674 1.112264 0.0360 1.104238 0.0541 1.093716
-0.3624 1.126937 0.0358 1.118922 0.0538 1.108340
-0.3574 1.142222 0.0355 1.134275 0.0534 1.123707
-0.3524 1.158121 0.0353 1.150306 0.0530 1.139837
-0.3474 1.174628 0.0350 1.167018 0.0527 1.156742
-0.3424 1.191735 0.0348 1.184407 0.0523 1.174428
-0.3374 1.209425 0.0345 1.202462 0.0519 1.192893
-0.3324 1.227676 0.0343 1.221162 0.0515 1.212124
-0.3274 1.246456 0.0340 1.240481 0.0511 1.232099
-0.3224 1.265728 0.0337 1.260380 0.0507 1.252781
-0.3174 1.285442 0.0335 1.280809 0.0503 1.274121
-0.3124 1.305543 0.0332 1.301710 0.0499 1.296058
-0.3074 1.325966 0.0329 1.323012 0.0495 1.318512
-0.3024 1.346636 0.0327 1.344633 0.0491 1.341394
-0.2974 1.367470 0.0324 1.366480 0.0487 1.364596
-0.2924 1.388378 0.0322 1.388450 0.0483 1.388000
-0.2874 1.409263 0.0319 1.410433 0.0479 1.411474
-0.2824 1.430019 0.0317 1.432308 0.0475 1.434878
-0.2774 1.450538 0.0315 1.453950 0.0472 1.458061
-0.2724 1.470709 0.0312 1.475228 0.0468 1.480866
-0.2674 1.490418 0.0310 1.496011 0.0465 1.503136
-0.2624 1.509554 0.0308 1.516166 0.0462 1.524712
-0.2574 1.528007 0.0306 1.535566 0.0459 1.545436
-0.2524 1.545674 0.0305 1.554088 0.0456 1.565161
-0.2474 1.562458 0.0303 1.571618 0.0453 1.583746
-0.2424 1.578273 0.0301 1.588053 0.0451 1.601067
-0.2374 1.593046 0.0300 1.603305 0.0449 1.617012
-0.2324 1.606717 0.0299 1.617302 0.0447 1.631494
-0.2274 1.619245 0.0297 1.629990 0.0445 1.644443
-0.2224 1.630604 0.0296 1.641337 0.0444 1.655817
-0.2174 1.640789 0.0296 1.651333 0.0442 1.665599
-0.2124 1.649815 0.0295 1.659990 0.0441 1.673799
-0.2074 1.657719 0.0294 1.667346 0.0440 1.680455
-0.2024 1.664557 0.0293 1.673459 0.0439 1.685632
-0.1974 1.670409 0.0293 1.678415 0.0439 1.689424
-0.1924 1.675373 0.0293 1.682319 0.0438 1.691948
-0.1874 1.679569 0.0292 1.685299 0.0438 1.693348
-0.1824 1.683134 0.0292 1.687503 0.0438 1.693787
-0.1774 1.686223 0.0292 1.689096 0.0438 1.693448
-0.1724 1.689010 0.0292 1.690260 0.0437 1.692531
-0.1674 1.691683 0.0292 1.691192 0.0437 1.691248
-0.1624 1.694445 0.0291 1.692100 0.0437 1.689822
-0.1574 1.697515 0.0291 1.693206 0.0437 1.688482
-0.1524 1.701127 0.0291 1.694739 0.0437 1.687463
-0.1474 1.705530 0.0291 1.696941 0.0437 1.687003
